Booth,Code
PVP Talk,    CMRD
Student Panel,    JNRF
Student Life Gallery,    QPSH
DSA,    JQWN
PforSST,    SFHY
Astronomy,    QUDY
Athletics,    UWQW
Basketball,    MXYR
Fencing,    KYUJ
Media Club,    AJHL
Showchoir,    XWBG
Scouts,    SLGL
Robotics,    VCGP
SYFC,    FSGN
Chemistry Showcase,    WTGJ
Physics Showcase,    GJDE
Biology Showcase,    DXDK
Biotechnology Showcase,    YLYC
Electronics Showcase,    VXBW
Science TDP,    UHWA
ChangeMakers,    CNQR
ACE,    RAKG
English,    EHBB
IH,    SXQE
Mathematics,    MVRD
Chinese,    XNAK
Malay,    STUQ
Tamil,    UDSE
SSTED Talks,    ZLEZ
Computing,    JBGK
Robotics CCA Showcase,    KJHB
Exhibition Centre Showcase,    CRWN
Everyday Innovations,    GPYF
Student Leaders,    PSJQ
Sports and Wellness,    MDWZ
Design Studies,    PCMR